Country;YM;Month;Year;;InterestRate
BG;2019M10;10;2019;-0.52;-0.52
BG;2019M11;11;2019;-0.56;-0.56
BG;2019M12;12;2019;-0.59;-0.59
BG;2020M01;01;2020;-0.60;-0.60
BG;2020M02;02;2020;-0.57;-0.57
BG;2020M03;03;2020;-0.56;-0.56
BG;2020M04;04;2020;-0.68;-0.68
BG;2020M05;05;2020;-0.68;-0.68
BG;2020M06;06;2020;-0.68;-0.68
BG;2020M07;07;2020;-0.67;-0.67
BG;2020M08;08;2020;-0.68;-0.68
BG;2020M09 ;09;2020;-0.68;-0.68
CZ;2019M10;10;2019;2.00;2.00
CZ;2019M11;11;2019;2.00;2.00
CZ;2019M12;12;2019;2.00;2.00
CZ;2020M01;01;2020;2.00;2.00
CZ;2020M02;02;2020;2.20;2.20
CZ;2020M03;03;2020;1.94;1.94
CZ;2020M04;04;2020;1.00;1.00
CZ;2020M05;05;2020;0.42;0.42
CZ;2020M06;06;2020;0.25;0.25
CZ;2020M07;07;2020;0.25;0.25
CZ;2020M08;08;2020;0.25;0.25
CZ;2020M09 ;09;2020;20.25;20.25
EA;2019M10;10;2019;-0.46;-0.46
EA;2019M11;11;2019;-0.45;-0.45
EA;2019M12;12;2019;-0.46;-0.46
EA;2020M01;01;2020;-0.45;-0.45
EA;2020M02;02;2020;-0.45;-0.45
EA;2020M03;03;2020;-0.45;-0.45
EA;2020M04;04;2020;-0.45;-0.45
EA;2020M05;05;2020;-0.46;-0.46
EA;2020M06;06;2020;-0.46;-0.46
EA;2020M07;07;2020;-0.46;-0.46
EA;2020M08;08;2020;-0.47;-0.47
EA;2020M09 ;09;2020;-0.47 ;-0.47 
HR;2019M10;10;2019;0.29;0.29
HR;2019M11;11;2019;0.27;0.27
HR;2019M12;12;2019;0.27;0.27
HR;2020M01;01;2020;;
HR;2020M02;02;2020;;
HR;2020M03;03;2020;;
HR;2020M04;04;2020;;
HR;2020M05;05;2020;;
HR;2020M06;06;2020;;
HR;2020M07;07;2020;;
HR;2020M08;08;2020;;
HR;2020M09 ;09;2020;-0.48;-0.48
HU;2019M10;10;2019;0.04;0.04
HU;2019M11;11;2019;0.03;0.03
HU;2019M12;12;2019;0.03;0.03
HU;2020M01;01;2020;0.03;0.03
HU;2020M02;02;2020;0.06;0.06
HU;2020M03;03;2020;0.47;0.47
HU;2020M04;04;2020;0.69;0.69
HU;2020M05;05;2020;0.80;0.80
HU;2020M06;06;2020;0.56;0.56
HU;2020M07;07;2020;0.55;0.55
HU;2020M08;08;2020;0.45;0.45
HU;2020M09 ;09;2020; ; 
HU;2019M10;10;2019;1.60;1.60
PL;2019M11;11;2019;1.58;1.58
PL;2019M12;12;2019;1.45;1.45
PL;2020M01;01;2020;1.42;1.42
PL;2020M02;02;2020;1.51;1.51
PL;2020M03;03;2020;1.22;1.22
PL;2020M04;04;2020;0.67;0.67
PL;2020M05;05;2020;0.36;0.36
PL;2020M06;06;2020;0.14;0.14
PL;2020M07;07;2020;0.10;0.10
PL;2020M08;08;2020;0.10;0.10
PL;2020M09 ;09;2020; ; 
RO;2019M10;10;2019;2.28;2.28
RO;2019M11;11;2019;2.38;2.38
RO;2019M12;12;2019;2.74;2.74
RO;2020M01;01;2020;2.31;2.31
RO;2020M02;02;2020;2.40;2.40
RO;2020M03;03;2020;2.38;2.38
RO;2020M04;04;2020;2.37;2.37
RO;2020M05;05;2020;2.11;2.11
RO;2020M06;06;2020;1.87;1.87
RO;2020M07;07;2020;2.02;2.02
RO;2020M08;08;2020;1.78;1.78
RO;2020M09 ;09;2020; ; 
 TR;2019M10;10;2019;15.99;15.99
 TR;2019M11;11;2019;13.62;13.62
 TR;2019M12;12;2019;12.16;12.16
 TR;2020M01;01;2020;11.31;11.31
 TR;2020M02;02;2020;10.90;10.90
 TR;2020M03;03;2020;10.29;10.29
 TR;2020M04;04;2020;8.99;8.99
 TR;2020M05;05;2020;8.50;8.50
 TR;2020M06;06;2020;8.11;8.11
 TR;2020M07;07;2020;8.24;8.24
 TR;2020M08;08;2020;9.67;9.67
 TR;2020M09 ;09;2020;10.67 ;10.67 
 UK;2019M10;10;2019;0.67;0.67
 UK;2019M11;11;2019;0.68;0.68
 UK;2019M12;12;2019;0.67;0.67
 UK;2020M01;01;2020;0.67;0.67
 UK;2020M02;02;2020;0.68;0.68
 UK;2020M03;03;2020;0.30;0.30
 UK;2020M04;04;2020;0.06;0.06
 UK;2020M05;05;2020;0.06;0.06
 UK;2020M06;06;2020;0.05;0.05
 UK;2020M07;07;2020;0.05;0.05
 UK;2020M08;08;2020;0.05;0.05
 UK;2020M09 ;09;2020;0.05 ;0.05 
